asum,rahvaarv,pindala
Astangu,4406,207
Haabersti,914,97
Kakumäe,2054,251
Mustjõe,3363,179
Mäeküla,2,145
Pikaliiva,4111,447
Rocca al Mare,0,84
Tiskre,2072,139
Veskimetsa,20,140
Vismeistri,1980,143
Väike-Õismäe,26769,218
Õismäe,1234,178
,,
Aegna,16,301
Juhkentali,1422,130
Kadriorg,5344,256
Kassisaba,4461,45
Keldrimäe,5595,35
Kitseküla,4267,140
Kompassi,2164,16
Luite,778,85
Maakri,1070,13
Mõigu,331,70
Raua,6316,31
Sadama,4128,139
Sibulaküla,2163,13
Südalinn,168,25
Tatari,2508,22
Torupilli,3958,51
Tõnismäe,1306,23
Uus Maailm,7471,65
Vanalinn,4658,110
Veerenni,4000,92
Ülemistejärve,187,1397
,,
Järve,2884,105
Lilleküla,25940,546
Tondi,4102,133
,,
Katleri,4907,38
Kurepõllu,4178,68
Kuristiku,10690,84
Laagna,23515,136
Loopealse,2961,57
Mustakivi,19434,116
Pae,13290,58
Paevälja,910,119
Priisle,10979,185
Seli,12583,95
Sikupilli,12221,135
Sõjamäe,122,747
Tondiraba,354,138
Uuslinn,392,22
Väo,127,408
Ülemiste,1523,340
,,
Kadaka,4781,281
Mustamäe,49345,441
Siili,3432,26
Sääse,8956,61
,,
Hiiu,3898,263
Kivimäe,4854,222
Laagri,865,41
Liiva,1367,264
Männiku,5694,447
Nõmme,6290,480
Pääsküla,9741,661
Rahumäe,3063,162
Raudalu,747,180
Vana-Mustamäe,2015,198
,,
Iru,40,43
Kloostrimetsa,82,405
Kose,3565,346
Laiaküla,263,159
Lepiku,1630,162
Maarjamäe,2528,155
Merivälja,2984,163
Mähe,6803,282
Pirita,1102,173
,,
Kalamaja,12179,210
Karjamaa,4949,97
Kelmiküla,1362,21
Kopli,6628,282
Merimetsa,5,134
Paljassaare,600,395
Pelgulinn,15336,238
Pelguranna,14499,100
Sitsi,3975,45